關鍵詞語,出現次數
people,208
like,143
think,119
part,88
say,87
explain,81
person,76
place,71
time,68
children,57
would,55
often,51
good,50
important,49
learn,41
young,37
country,36
things,34
something,32
others,32
make,31
new,29
future,28
kind,28
know,27
parents,27
felt,27
city,26
friends,25
help,25
feel,25
study,24
buy,24
work,24
go,24
old,24
made,23
live,22
heshe,22
someone,22
use,21
food,21
popular,21
photos,20
visit,20
school,20
home,20
difficult,20
kinds,19
differences,19
ever,19
public,19
prefer,19
want,18
likes,18
places,18
take,18
online,17
event,17
usually,17
enjoy,17
shopping,17
cities,16
music,16
happened,16
interesting,16
special,15
child,15
expensive,15
stay,15
news,15
eg,15
animals,14
money,14
many,14
students,14
went,14
life,13
small,13
choose,12
advice,12
see,12
received,12
taught,12
ls,12
daily,12
late,12
watched,12
sports,12
better,11
read,11
one,11
result,11
climate,11
happy,11
lot,11
subject,11
recently,11
movies,11
teachers,11
always,10
teach,10
area,10
technology,10
favourite,10
ask,10
eat,10
keep,10
need,10
talking,10
really,10
wild,10
advantages,10
knew,9
skills,9
experience,9
transport,9
years,9
much,9
family,9
enjoyed,9
goals,9
role,9
meal,9
learning,9
china,9
met,9
phone,8
famous,8
relax,8
parks,8
house,8
culture,8
historical,8
past,8
whats,8
wear,8
watch,8
disadvantages,8
benefits,8
himher,8
science,8
best,8
law,8
different,8
talk,8
routine,8
library,8
dont,8
challenge,8
free,7
gave,7
favorite,7
clothes,7
friend,7
space,7
foreign,7
piece,7
whether,7
film,7
perfume,7
plants,7
remember,7
tourist,7
hometown,7
strong,7
prize,7
living,7
activities,7
opinions,7
room,7
item,7
confident,7
big,7
first,7
replace,7
traditional,7
coins,7
spend,7
routines,7
childhood,6
hand,6
played,6
encouraged,6
decision,6
gift,6
actor,6
talented,6
crowded,6
way,6
chocolate,6
proud,6
across,6
job,6
keys,6
change,6
got,6
anything,6
jewelry,6
makes,6
weekends,6
risk,6
changed,6
long,6
face,6
took,6
set,6
tshirts,6
easy,6
art,6
outer,6
lost,6
countryside,6
natural,6
roads,6
share,6
flowers,6
bought,6
day,6
movie,5
wore,5
photo,5
bike,5
exercise,5
necessary,5
activity,5
wanted,5
younger,5
noise,5
plant,5
older,5
successful,5
interested,5
scenery,5
bikes,5
model,5
visited,5
get,5
call,5
challenges,5
group,5
days,5
advertising,5
park,5
noisy,5
weather,5
tv,5
decisions,5
air,5
short,5
videos,5
start,5
thought,5
well,5
exciting,5
internet,5
achieve,5
going,5
taken,5
showed,5
together,5
asked,5
adults,5
studying,5
service,5
occasions,4
peoples,4
pen,4
studyingworking,4
pencil,4
birthday,4
prices,4
lose,4
buildings,4
career,4
last,4
watching,4
goal,4
goods,4
happiness,4
morning,4
schools,4
mobile,4
products,4
introduce,4
learned,4
holidays,4
develop,4
heard,4
recent,4
attraction,4
media,4
alone,4
unusual,4
building,4
polluted,4
succeeded,4
contact,4
thing,4
employees,4
came,4
languages,4
find,4
difference,4
enjoyable,4
journey,4
working,4
satisfied,4
complaint,4
achievement,4
stars,4
age,4
reading,4
tourism,4
fish,4
character,4
companies,4
party,4
advertisement,4
childrens,4
fishing,4
another,4
theatre,4
ideal,4
taking,4
making,4
eating,4
apartment,4
likely,4
businesses,4
sport,4
difficulties,3
street,3
high,3
malls,3
professional,3
play,3
give,3
occasion,3
us,3
doctors,3
local,3
gifts,3
education,3
attended,3
nurses,3
friendrelative,3
care,3
someonea,3
saw,3
positive,3
toys,3
parentsfriends,3
hometowncity,3
furniture,3
perfect,3
museum,3
cultural,3
car,3
website,3
picturephotograph,3
video,3
object,3
enjoys,3
thinks,3
low,3
nurse,3
doctor,3
persons,3
didnt,3
ended,3
terrible,3
lead,3
valuable,3
become,3
member,3
chosen,3
garden,3
medical,3
field,3
outdoor,3
indoor,3
store,3
mountains,3
citytown,3
attractions,3
relaxing,3
rules,3
classmates,3
socialize,3
apartments,3
type,3
challenging,3
interest,3
teacher,3
environment,3
week,3
trees,3
shop,3
buying,3
al,3
paper,3
books,3
features,3
obey,3
social,3
mornings,3
complaints,3
using,3
student,3
cooked,3
grow,3
cold,3
hot,3
celebrate,3
pets,3
facetoface,3
numbers,3
kid,3
fast,3
reward,3
travel,3
teamwork,3
ebooks,3
chinese,3
willing,3
around,3
lived,3
ages,3
beautiful,3
laughter,3
neighbours,3
studywork,3
poolpart,3
relaxation,3
still,3
topic,3
riding,3
rewards,2
suitable,2
subjects,2
ride,2
quality,2
maths,2
differ,2
complained,2
improved,2
look,2
helps,2
hours,2
plan,2
games,2
facilities,2
dislike,2
relaxed,2
company,2
currently,2
workplace,2
major,2
used,2
affect,2
events,2
industry,2
relationships,2
circumstances,2
restaurants,2
digital,2
habits,2
instead,2
follow,2
members,2
communicate,2
payment,2
shops,2
everything,2
problems,2
close,2
achieved,2
damage,2
competition,2
environmental,2
accommodation,2
market,2
common,2
types,2
handicrafts,2
salary,2
aspects,2
impact,2
choosing,2
meetings,2
items,2
stages,2
libraries,2
takendrawn,2
looks,2
behavior,2
todays,2
formal,2
come,2
models,2
cash,2
chose,2
effective,2
enough,2
success,2
respond,2
keen,2
prepare,2
changes,2
offer,2
cooperate,2
pollution,2
earn,2
towns,2
related,2
memory,2
protect,2
animal,2
actors,2
photographer,2
habit,2
keeps,2
actresses,2
neighbors,2
learner,2
cook,2
born,2
try,2
acting,2
reasons,2
ways,2
selfcentered,2
mathematics,2
early,2
less,2
encourage,2
sharing,2
phones,2
breakfast,2
desk,2
mates,2
ones,2
done,2
win,2
gardens,2
prizes,2
little,2
physical,2
everyone,2
found,2
influence,2
staying,2
else,2
among,2
documentaries,2
risks,2
worked,2
talked,2
pay,2
dangerous,2
qualities,2
ago,2
modern,2
lots,2
given,2
hire,2
plans,2
nowadays,2
laugh,2
lives,2
idea,2
holiday,2
primary,2
value,2
disappear,2
forget,2
factors,2
growing,2
improve,2
wellknown,2
topics,2
planted,2
behaviour,2
options,1
trend,1
able,1
green,1
understanding,1
invite,1
homes,1
view,1
variety,1
impacts,1
cooking,1
seeing,1
zoos,1
centre,1
suburbs,1
changeable,1
needed,1
normally,1
spot,1
seasons,1
formed,1
four,1
distinct,1
cultures,1
occur,1
besides,1
terms,1
literature,1
income,1
course,1
welcome,1
influences,1
consider,1
instore,1
skill,1
rent,1
preferences,1
houses,1
offline,1
contribute,1
villages,1
outside,1
considered,1
center,1
brings,1
vegetables,1
payments,1
clean,1
pace,1
might,1
causes,1
sorts,1
advertisements,1
athletes,1
allowance,1
receive,1
bosses,1
motivated,1
teaching,1
fit,1
employers,1
earned,1
leisure,1
balance,1
break,1
risktaking,1
avoid,1
tell,1
cards,1
credit,1
save,1
comprehend,1
begin,1
rarely,1
hour,1
rush,1
commuters,1
means,1
cheapest,1
gender,1
publish,1
traffic,1
access,1
liuxuekoolearncom,1
advance,1
prepared,1
takeaways,1
ordering,1
since,1
personal,1
kids,1
lonely,1
judge,1
overcame,1
weekdays,1
following,1
telling,1
showing,1
practical,1
style,1
dress,1
management,1
appointments,1
customer,1
poor,1
react,1
letter,1
writing,1
community,1
information,1
travelling,1
solve,1
prevent,1
visiting,1
bad,1
may,1
tourists,1
worse,1
emission,1
reduce,1
forced,1
factories,1
effectively,1
cleaner,1
funding,1
governments,1
agree,1
exercises,1
mental,1
training,1
classes,1
gaining,1
noises,1
louder,1
allowed,1
stores,1
socialise,1
let,1
gain,1
nature,1
caused,1
sometimes,1
mind,1
offering,1
sitting,1
vegetarians,1
programmes,1
relationship,1
challenged,1
overcome,1
customers,1
particular,1
criteria,1
tings,1
remind,1
organized,1
losing,1
easily,1
distance,1
helping,1
helped,1
confidence,1
lack,1
also,1
rewarding,1
maintaining,1
horizons,1
limit,1
graduation,1
manners,1
fine,1
beside,1
every,1
e,1
transportation,1
language,1
dry,1
pencils,1
pens,1
number,1
remembering,1
jumping,1
bungee,1
diving,1
scuba,1
tried,1
problem,1
asking,1
speak,1
checking,1
business,1
starting,1
spare,1
picturetaking,1
photographs,1
discussing,1
meet,1
meeting,1
hate,1
teams,1
team,1
smartphones,1
wet,1
forecast,1
scenic,1
next,1
souvenirs,1
fashionable,1
prints,1
pictures,1
films,1
learnt,1
artist,1
gallery,1
weekend,1
vacation,1
stage,1
five,1
moment,1
effects,1
neighbor,1
leave,1
lock,1
bring,1
museums,1
programs,1
calls,1
texting,1
cheaper,1
choices,1
compare,1
climates,1
views,1
hotels,1
private,1
nfuimshbinegrs,1
stayfinisgh,1
ctoslhoiurrtss,1
ptihmoenes,1
mofbrielee,1
rroouuttiinneess,1
mmoorrnniinngg,1
sshhooppppiinngg,1
wweeaatthheerr,1
bbiirrtthhddaayy,1
pereyncils,1
coern,1
penss,1
oaucrtisvities,1
hsacpepnienreyss,1
excitcinogl,1
heome,1
uatm,1
staypinergf,1
msemory,1
childhcooodin,1
hrelp,1
gfhorte,1
asklinaug,1
inrtoeardnset,1
bagikeess,1
rlidaninggu,1
iunpg,1
cchhooccoollaatteess,1
featuring,1
friendly,1
seen,1
today,1
convenient,1
collected,1
laughed,1
shows,1
improvement,1
condition,1
road,1
cross,1
busy,1
diddo,1
window,1
sshhaarriinngg,1
elsewhere,1
houseflatroom,1
flat,1
jobs,1
changing,1
could,1
manage,1
miss,1
method,1
afternoons,1
forward,1
looking,1
wearing,1
stayed,1
night,1
effect,1
leading,1
create,1
directors,1
domestic,1
planting,1
generally,1
obsessed,1
beings,1
human,1
talents,1
musical,1
background,1
affected,1
cinema,1
class,1
playing,1
conversations,1
unwilling,1
foreigners,1
grandparents,1
takes,1
costumes,1
dressing,1
love,1
admire,1
definition,1
roles,1
ton,1
lately,1
supermarket,1
apps,1
least,1
advertised,1
commonly,1
newspaper,1
commercials,1
celebrities,1
useful,1
grown,1
cameras,1
tookdrew,1
rather,1
consumption,1
photographers,1
development,1
havent,1
though,1
even,1
iphones,1
frequently,1
technological,1
groups,1
various,1
consumer,1
liked,1
weddings,1
similar,1
shares,1
selfish,1
sent,1
countrys,1
fun,1
aid,1
paid,1
thinking,1
persuading,1
listening,1
opinionated,1
lt,1
outdoors,1
indoors,1
pet,1
meanings,1
interests,1
math,1
girls,1
females,1
calculator,1
held,1
concert,1
musician,1
singer,1
listen,1
deal,1
world,1
flavour,1
reasonable,1
charge,1
price,1
handmade,1
whenwhere,1
tend,1
teenagers,1
focus,1
colleagues,1
employee,1
collaboration,1
coworker,1
introverted,1
peers,1
markets,1
mall,1
cheap,1
cooperation,1
hard,1
motivation,1
plays,1
services,1
consultancy,1
almost,1
lawyer,1
issues,1
gives,1
hisher,1
handicraft,1
proapp,1
